,nazwa,adres,telefon,geo,geo_lat,geo_lon
117,ODDZIAŁ CHORÓB WEWNĘTRZNYCH,SZPROTAWA/ 67-300/  UL. HENRYKOWSKA 1,412402309,"('51.56724245', '15.5529162295467')",51.56724245,15.5529162295467
118,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL UNIWERSYTECKI W KRAKOWIE,"KRAKÓW, 31-501, UL. MIKOŁAJA KOPERNIKA 36","+48 12 424 70 00, +48 12 424 70 01","('50.0629778', '19.9513069')",50.0629778,19.9513069
119,SZPITAL SPECJALISTYCZNY IM. STEFANA ŻEROMSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KRAKOWIE,"KRAKÓW, 31-913, OS. NA SKARPIE 66","+ 48 12 644 01 44, +48 12 622 94 65","('50.06550345', '20.0461958962875')",50.06550345,20.0461958962875
120,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MYŚLENICACH,"MYŚLENICE, 32 - 400, UL. SZPITALNA 2","+48 12 272 10 85, +48 12 273 03 55","('49.8290211', '19.9463865664783')",49.8290211,19.9463865664783
121,SPECJALISTYCZNY SZPITAL IM. E. SZCZEKLIKA W TARNOWIE,"TARNÓW, 33-100, UL. SZPITALNA 13","+48 14 63 10 100,","('50.0161723', '20.9947686')",50.0161723,20.9947686
122,KRAKOWSKI SZPITAL SPECJALISTYCZNY IM. JANA PAWŁA II W KRAKOWIE,"KRAKÓW, 31-202, UL. PRĄDNICKA 80","+48 12 614 20 00, +48 12 614 20 01","('50.0899651', '19.9369008')",50.0899651,19.9369008
123,SZPITAL SPECJALISTYCZNY IM. JĘDRZEJA ŚNIADECKIEGO W NOWYM SĄCZU,"NOWY SĄCZ, 33 - 300, UL. MŁYŃSKA 10","+ 48 18 44-25-802, + 48 18 44-25-872","('49.61975215', '20.7003043172548')",49.61975215,20.7003043172548
124,ZESPÓŁ OPIEKI ZDROWOTNEJ W DĄBROWIE TARNOWSKIEJ,"DĄBROWA TARNOWSKA, 33-200, UL. SZPITALNA 1","+48 014 642 28 31, + 48 014 642 27 50","('50.1770168', '20.9766395371034')",50.1770168,20.9766395371034
125,NOWY SZPITAL W OLKUSZU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"OLKUSZ, 32-300, UL. 1000-LECIA 13",+ 48 41 240 1200,"('50.268612', '19.570096')",50.268612,19.570096
126,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W PROSZOWICACH,"PROSZOWICE, 32-100, UL. MIKOŁAJA KOPERNIKA 13","+48 12 386 51 00, +48 12 386 51 05","('50.1859056', '20.2990295')",50.1859056,20.2990295
127,SZPITAL ŚW. ANNY W MIECHOWIE,"MIECHÓW, 32-200, UL. SZPITALNA 3","+48 41 38 20 100,","('50.3539707', '20.0345555')",50.3539707,20.0345555
128,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ - SĄDECKIE POGOTOWIE RATUNKOWE,"UL. ŚNIADECKICH 15, 33-300 NOWY SĄCZ",+48 18 442 09 49,"('49.6167789', '20.7033002')",49.6167789,20.7033002
129,PODHALAŃSKI SZPITAL SPECJALISTYCZNY IM. JANA PAWŁA II W NOWYM TARGU,"UL. SZPITALNA 14, 34-400 NOWY TARG",+48 18 263 30 01,"('49.49013635', '20.0276193429691')",49.49013635,20.0276193429691
130,MAŁOPOLSKA KOLUMNA TRANSPORTU SANITARNEGO W TARNOWIE,"UL. CHYSZOWSKA 10, 33-100 TARNÓW",+48 14 621 04 98,"('50.00912965', '20.9593948982068')",50.00912965,20.9593948982068
131,KRAKOWSKIE POGOTOWIE RATUNKOWE,"UL. ŚW. ŁAZARZA 14, 31-530 KRAKÓW",+48 12 424 42 00,a,a,a
132,SZPITAL POWIATOWY W LIMANOWEJ IMIENIA MIŁOSIERDZIA BOŻEGO,"UL. PIŁSUDSKIEGO 61, 34-600 LIMANOWA",+48 18 330 17 00,"('49.716558', '20.413766')",49.716558,20.413766
133,SCANMED SPÓŁKA AKCYJNA,"UL. ARMII KRAJOWEJ 18, 30-150 KRAKÓW","+48 12 629 89 00, +48 12 629 88 00","('50.07179465', '19.8959748309906')",50.07179465,19.8959748309906
134,POWIATOWA STACJA POGOTOWIA RATUNKOWEGO W TARNOWIE,"AL. MATKI BOŻEJ FATIMSKIEJ  2, 33-100 TARNÓW",+48 14 621 77 91,"('50.016426', '20.9918184556121')",50.016426,20.9918184556121
135,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W KOZIENICACH,"26-900 KOZIENICE, UL. AL.WŁ. SIKORSKIEGO 10",48 679 72 89,"('51.587037', '21.546264')",51.587037,21.546264
136,WOJSKOWY INSTYTUT MEDYCZNY CENTRALNEGO SZPITALA KLINICZNEGO MINISTRESTWA OBRONY NARODOWEJ,"04-141 WARSZAWA, UL. SZASERÓW 128",261817519,"('52.25207525', '21.0890925737613')",52.25207525,21.0890925737613
137,"""LUXURY MEDICAL CARE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - SPÓŁKA KOMANDYTOWA","00-195 WARSZAWA, SŁOMIŃSKIEGO 17/47",22 525 12 09 GŁÓWNY DYSPOZYTOR PRM W WARSZAWIE,"('52.2570661', '20.9899599')",52.2570661,20.9899599
138,RADOMSKA STACJA POGOTOWIA RATUNKOWEGO,"26-600 RADOM, UL. TOCHTERMANA 1",48 361 93 51 GŁÓWNY DYSPOZYTOR PRM W RADOMIU,"('51.3998949', '21.1458909')",51.3998949,21.1458909
139,ZESPÓŁ OPIEKI ZDROWOTNEJ W DĘBICY,"39-200 DĘBICA, UL. KRAKOWSKA 91",14 67 03 621,"('50.0374261', '21.3899748540914')",50.0374261,21.3899748540914
140,CENTRUM OPIEKI MEDYCZNEJ,"37-500 JAROSŁAW, UL. 3 MAJA 70",16 62 15 421,"('50.0135277', '22.693395678218')",50.0135277,22.693395678218
141,SZPITAL SPECJALISTYCZNY W JAŚLE,"38-200 JASŁO,  UL. LWOWSKA 22",13 44 37 503,"('49.75253065', '21.4803995500219')",49.75253065,21.4803995500219
142,"""CENTRUM MEDYCZNE W ŁAŃCUCIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","37-100 ŁAŃCUT,  UL. IGNACEGO PADEREWSKIEGO 5",17 22 40 100,"('50.06602525', '22.2327700201346')",50.06602525,22.2327700201346
143,SZPITAL SPECJALISTYCZNY IM. EDMUNDA BIERNACKIEGO,"ŻEROMSKIEGO 22, 39-300 MIELEC",17 78 00 100,"('50.29223455', '21.4309829258498')",50.29223455,21.4309829258498
144,WOJEWÓDZKI SZPITAL IM. ŚW. OJCA PIO W PRZEMYŚLU,"37-700 PRZEMYŚL, UL. MONTE CASSINO 18",16 67 75 000,"('49.80870805', '22.7821563160985')",49.80870805,22.7821563160985
145,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SANOKU,"38-500 SANOK, UL. 800-LECIA 26",13 46 56 100,"('49.5521982', '22.1990294698756')",49.5521982,22.1990294698756
146,SAMODZIELNE PUBLICZNE POGOTOWIE RATUNKOWE W KROŚNIE,"38-400 KROSNO, UL. GRODZKA 45",13 43 20 222,"('49.6842315', '21.7657132')",49.6842315,21.7657132
147,POWIATOWA STACJA POGOTOWIA RATUNKOWEGO SAMODZIELNY PUBLICZNY ZAKŁAD W MIELCU,"39-300 MIELEC, UL. ŻEROMSKIEGO 22",17 78 00 552,"('50.2899177', '21.4363379114689')",50.2899177,21.4363379114689
148,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO W PRZEMYŚLU SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,"37-700 PRZEMYŚL, UL. JULIUSZA SŁOWACKIEGO 85",784403454,"('49.784234', '22.775079')",49.784234,22.775079
149,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO W RZESZOWIE,"35-026 RZESZÓW, UL. KSIĘCIA JÓZEFA PONIATOWSKIEGO 4",17 85 26 253,"('50.033845', '21.996899')",50.033845,21.996899
150,BIESZCZADZKIE POGOTOWIE RATUNKOWE SPZOZ W SANOKU,"38-500 SANOK,  UL. JEZIERSKIEGO 21",13 46 28 460,"('49.5376986', '22.1919702')",49.5376986,22.1919702
151,KLINICZNY SZPITAL WOJEWÓDZKI NR 2 IM. ŚW.JADWIGI KRÓLOWEJ W RZESZOWIE,"35-301 RZESZÓW, UL. LWOWSKA 60",17 86 64 000,"('50.03466555', '22.037643406065')",50.03466555,22.037643406065
152,UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFAW BIAŁYMSTOKU,"BIAŁYSTOK 15-274, JERZEGO WASZYNGTONA, 17",85 745 06 93,"('53.12359085', '23.1559140577611')",53.12359085,23.1559140577611
153,PODHALAŃSKI SZPITAL SPECJALISTYCZNY,"UL. SZPITALNA 14, 34-400 NOWY TARG",18 263 30 01,"('49.49013635', '20.0276193429691')",49.49013635,20.0276193429691
154,SZPITAL KLINICZNY IM. KAROLA JONSCHERA UNIWERSYTETU MEDYCZNEGO,,,"('34.220389', '70.3800314')",34.220389,70.3800314
155,IM. KAROLA MARCINKOWSKIEGO W POZNANIU,"POZNAŃ 60-572, UL. SZPITALNA 27/33",61 849 12 00,"('52.4118683', '16.8798076112684')",52.4118683,16.8798076112684
156,WOJEWÓDZKI SZPITAL ZESPOLONY W ELBLĄGU,KRÓLEWIECKA 146 82-300 ELBLĄG,89 512 15 56,"('54.1793839', '19.4289793')",54.1793839,19.4289793
157,SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL ZESPOLONY,"71-455 SZCZECIN, UL. ARKOŃSKA 4",91-813-90-45/91-813-90-09/91-813-93-30,"('53.453058', '14.525886')",53.453058,14.525886
158,SZPITAL WOJEWÓDZKI IM. MIKOŁAJA KOPERNIKA W KOSZALINIE,"75-581 KOSZALIN, UL. CHAŁUBIŃSKIEGO 7",94-348-84-00/94-348-82-99,"('54.1993937', '16.2115804592507')",54.1993937,16.2115804592507
159,"SAMODZIELNY PUBLICZNY SPECJALISTYCZNY ZOZ ""ZDROJE""","70-780 SZCZECIN, UL. MĄCZNA 4",91-880-62-50/91-880-64-80,"('53.3727165', '14.6416791012626')",53.3727165,14.6416791012626
160,ZESPÓŁ GRUŹLICY I CHORÓB PŁUC,"75-252 KOSZALIN, UL. NIEPODLEGŁOŚCI 44-48",94-342-20-51/94-342-33-39,"('54.1939634', '16.1763722')",54.1939634,16.1763722
161,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO,"71-011 SZCZECIN, UL. MIESZKA I  33",91-433-38-01/91-433-57-54,"('53.4112391', '14.5196561')",53.4112391,14.5196561
